taxon_id	ab_id	original_name	algae	ab_empire	ab_kingdom	ab_phylum	ab_class	ab_subclass	ab_order	ab_family	link	world_distribution_summary
104015	52971	Pseudobodo tremulans Griessmann, 1913	Y	Eukaryota	Chromista	Bigyra	Bicosoecophyceae	Bicosoecophycidae	Bicosoecales	Pseudobodonaceae	https://www.algaebase.org/search/species/detail/?species_id=52971	EUR 
104016	36875	Caecitellus parvulus (Griessmann) D.J.Patterson, K.Nygaard, G.Steinberg & Turley, 1993	Y	Eukaryota	Chromista	Bigyra	Bicosoecophyceae	Bicosoecophycidae	Caecitellales	Caecitellaceae	https://www.algaebase.org/search/species/detail/?species_id=36875	EUR 
105542	56436	Acanthocorbis apoda (Leadbeater) Hara & Takahashi, 1984		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Stephanoecidae	https://www.algaebase.org/search/species/detail/?species_id=56436	EUR 
105543	143048	Acanthocorbis asymmetrica (Thomsen) Hara & Takahashi, 1984		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Stephanoecidae	https://www.algaebase.org/search/species/detail/?species_id=143048	EUR 
105544	56438	Acanthocorbis campanula (Espeland) Thomsen, 1991		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Stephanoecidae	https://www.algaebase.org/search/species/detail/?species_id=56438	EUR 
105545	140965	Acanthocorbis haurakiana Thomsen, 1991		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Stephanoecidae	https://www.algaebase.org/search/species/detail/?species_id=140965	EUR 
105546	56440	Acanthocorbis unguiculata (Thomsen) Hara & Takahashi, 1984		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Stephanoecidae	https://www.algaebase.org/search/species/detail/?species_id=56440	EUR 
105547	81020	Acanthoeca brevipoda W.Ellis, 1930		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=81020	EUR 
105548	120206	Acanthoeca spectabilis W.N.Ellis, 1930		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Acanthoecidae	https://www.algaebase.org/search/species/detail/?species_id=120206	EUR 
105556	40850	Bicosta antennigera Moestrup, 1979		Eukaryota	Amorphea	Choanozoa	Choanoflagellatea		Acanthoecida	Stephanoecidae	https://www.algaebase.org/search/species/detail/?species_id=40850	EUR 
