strain	strain_link	taxa_link	class	environment	scientific_name
NIVA-CYA 326/5	https://norcca.scrol.net/strain/niva-cya-3265	https://norcca.scrol.net/species/kamptonema-cf-okenii	Cyanophyceae	Greenhouse	Kamptonema cf. okenii
NIVA-CYA 327	https://norcca.scrol.net/strain/niva-cya-327	https://norcca.scrol.net/species/phormidium-sp	Cyanophyceae	Greenhouse	Phormidium sp.
NIVA-CYA 328	https://norcca.scrol.net/strain/niva-cya-328	https://norcca.scrol.net/species/synechococcus-sp	Cyanophyceae	Brackish water	Synechococcus sp.
NIVA-CYA 329	https://norcca.scrol.net/strain/niva-cya-329	https://norcca.scrol.net/species/chroococcus-cf-submarinus	Cyanophyceae	Brackish water	Chroococcus cf. submarinus
NIVA-CYA 33/1	https://norcca.scrol.net/strain/niva-cya-331	https://norcca.scrol.net/species/tychonema-bourrellyi	Cyanophyceae	Freshwater	Tychonema bourrellyi
NIVA-CYA 33/3	https://norcca.scrol.net/strain/niva-cya-333	https://norcca.scrol.net/species/tychonema-bourrellyi	Cyanophyceae	Freshwater	Tychonema bourrellyi
NIVA-CYA 33/4	https://norcca.scrol.net/strain/niva-cya-334	https://norcca.scrol.net/species/tychonema-bourrellyi	Cyanophyceae	Freshwater	Tychonema bourrellyi
NIVA-CYA 33/5	https://norcca.scrol.net/strain/niva-cya-335	https://norcca.scrol.net/species/tychonema-bourrellyi	Cyanophyceae	Freshwater	Tychonema bourrellyi
NIVA-CYA 33/6	https://norcca.scrol.net/strain/niva-cya-336	https://norcca.scrol.net/species/tychonema-bourrellyi	Cyanophyceae	Freshwater	Tychonema bourrellyi
NIVA-CYA 330	https://norcca.scrol.net/strain/niva-cya-330	https://norcca.scrol.net/species/chroococcus-cf-dispersus	Cyanophyceae	Brackish water	Chroococcus cf. dispersus
NIVA-CYA 331	https://norcca.scrol.net/strain/niva-cya-331-0	https://norcca.scrol.net/species/chroococcus-cf-submarinus	Cyanophyceae	Brackish water	Chroococcus cf. submarinus
NIVA-CYA 332	https://norcca.scrol.net/strain/niva-cya-332	https://norcca.scrol.net/species/kamptonema-laetevirens	Cyanophyceae	Brackish water	Kamptonema laetevirens
NIVA-CYA 333	https://norcca.scrol.net/strain/niva-cya-333-0	https://norcca.scrol.net/species/pseudanabaena-sp	Cyanophyceae	Brackish water	Pseudanabaena sp.
NIVA-CYA 334	https://norcca.scrol.net/strain/niva-cya-334-0	https://norcca.scrol.net/species/tapinothrix-violacea	Cyanophyceae	Brackish water	Tapinothrix violacea
NIVA-CYA 335	https://norcca.scrol.net/strain/niva-cya-335-0	https://norcca.scrol.net/species/anabaena-lemmermannii-var-lemmermannii	Cyanophyceae	Freshwater	Anabaena lemmermannii var. lemmermannii
NIVA-CYA 336	https://norcca.scrol.net/strain/niva-cya-336-0	https://norcca.scrol.net/species/calothrix-sp	Cyanophyceae	Freshwater, pond	Calothrix sp. ?
NIVA-CYA 337	https://norcca.scrol.net/strain/niva-cya-337	https://norcca.scrol.net/species/anabaena-torulosa	Cyanophyceae	Freshwater, pond	Anabaena torulosa
NIVA-CYA 338	https://norcca.scrol.net/strain/niva-cya-338	https://norcca.scrol.net/species/aphanizomenon-gracile	Cyanophyceae	Freshwater	Aphanizomenon gracile
NIVA-CYA 339	https://norcca.scrol.net/strain/niva-cya-339	https://norcca.scrol.net/species/snowella-lacustris	Cyanophyceae	Freshwater	Snowella lacustris
NIVA-CYA 34	https://norcca.scrol.net/strain/niva-cya-34	https://norcca.scrol.net/species/planktothrix-agardhii	Cyanophyceae	Freshwater	Planktothrix agardhii
NIVA-CYA 340	https://norcca.scrol.net/strain/niva-cya-340	https://norcca.scrol.net/species/nostoc-sp	Cyanophyceae	Freshwater,benthic	Nostoc sp.
NIVA-CYA 342	https://norcca.scrol.net/strain/niva-cya-342	https://norcca.scrol.net/species/phormidium-sp	Cyanophyceae		Phormidium sp.
NIVA-CYA 343	https://norcca.scrol.net/strain/niva-cya-343	https://norcca.scrol.net/species/phormidium-cf-breve	Cyanophyceae		Phormidium cf. breve
NIVA-CYA 344	https://norcca.scrol.net/strain/niva-cya-344	https://norcca.scrol.net/species/nostoc-sp	Cyanophyceae		Nostoc sp.
NIVA-CYA 345	https://norcca.scrol.net/strain/niva-cya-345	https://norcca.scrol.net/species/tolypothrix-sp	Cyanophyceae	Soil	Tolypothrix sp. ?
NIVA-CYA 346	https://norcca.scrol.net/strain/niva-cya-346	https://norcca.scrol.net/species/chroococcidiopsis-thermalis	Cyanophyceae	Soil	Chroococcidiopsis thermalis
NIVA-CYA 347	https://norcca.scrol.net/strain/niva-cya-347	https://norcca.scrol.net/species/chamaecalyx-incrassatus	Cyanophyceae	Marine, intertidal zone	Chamaecalyx incrassatus
NIVA-CYA 348	https://norcca.scrol.net/strain/niva-cya-348	https://norcca.scrol.net/species/cyanocystis-violacea	Cyanophyceae	Marine	Cyanocystis violacea
NIVA-CYA 35	https://norcca.scrol.net/strain/niva-cya-35	https://norcca.scrol.net/species/planktothrix-prolifica	Cyanophyceae	Freshwater	Planktothrix prolifica
NIVA-CYA 350	https://norcca.scrol.net/strain/niva-cya-350	https://norcca.scrol.net/species/oscillatoria-limosa	Cyanophyceae	Freshwater, benthic	Oscillatoria limosa
NIVA-CYA 351/1	https://norcca.scrol.net/strain/niva-cya-3511	https://norcca.scrol.net/species/nostoc-sp	Cyanophyceae	Freshwater	Nostoc sp.
NIVA-CYA 351/2	https://norcca.scrol.net/strain/niva-cya-3512	https://norcca.scrol.net/species/nostoc-sp	Cyanophyceae	Freshwater	Nostoc sp.
NIVA-CYA 352	https://norcca.scrol.net/strain/niva-cya-352	https://norcca.scrol.net/species/cylindrospermopsis-raciborskii	Cyanophyceae	Freshwater	Cylindrospermopsis raciborskii
NIVA-CYA 353	https://norcca.scrol.net/strain/niva-cya-353	https://norcca.scrol.net/species/cylindrospermopsis-raciborskii	Cyanophyceae	Freshwater	Cylindrospermopsis raciborskii
NIVA-CYA 354	https://norcca.scrol.net/strain/niva-cya-354	https://norcca.scrol.net/species/cylindrospermopsis-raciborskii	Cyanophyceae	Freshwater	Cylindrospermopsis raciborskii
NIVA-CYA 357	https://norcca.scrol.net/strain/niva-cya-357	https://norcca.scrol.net/species/microcystis-cf-botrys	Cyanophyceae	Freshwater	Microcystis cf. botrys
NIVA-CYA 358	https://norcca.scrol.net/strain/niva-cya-358	https://norcca.scrol.net/species/dolichospermum-cf-spiroides	Cyanophyceae	Freshwater	Dolichospermum cf. spiroides
NIVA-CYA 359	https://norcca.scrol.net/strain/niva-cya-359	https://norcca.scrol.net/species/synechococcus-sp	Cyanophyceae	Freshwater	Synechococcus sp.
NIVA-CYA 360	https://norcca.scrol.net/strain/niva-cya-360	https://norcca.scrol.net/species/limnothrix-planctonica	Cyanophyceae	Freshwater	Limnothrix planctonica
