ScientificName	AphiaID	Match type	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	used_aphia_id	comment
Microthamnion	369904	exact	Microthamnion	N�geli, 1849	369904	Dinophysis ovum	N�geli, 1849	369904	
Stauridium	451638	exact	Stauridium	Corda, 1839	451638	Meridion circulare var. circulare	Corda, 1839	451638	
Desmodesmus armatus var. spinosus	675366	exact	Desmodesmus armatus var. spinosus	(F.E.Fritsch & Rich) E.Hegewald, 2000	675366	Desmodesmus armatus var. spinosus	(F.E.Fritsch & Rich) E.Hegewald, 2000	675366	
Crucigeniella	172484	exact	Crucigeniella	Lemmermann, 1900	178617	Pinnularia viridis	Morren, 1830	178617	
Scenedesmus apiculatus	626622	exact	Scenedesmus apiculatus	(West & G.S.West) Chodat, 1926		Planothidium lanceolatum		626622	
Scenedesmus ellipticus	163125	exact	Scenedesmus ellipticus	Corda, 1835	163125	Scenedesmus ellipticus	Corda, 1835	163125	
Scenedesmus verrucosus	610924	exact	Scenedesmus verrucosus	Y.V.Roll, 1925	839179	Verrucodesmus verrucosus	(Y.V.Roll) E.Hegewald, 2013	839179	
Scenedesmus quadricauda	596169	exact	Scenedesmus quadricauda	(Turpin) Br�bisson, 1835	596169	Scenedesmus quadricauda	(Turpin) Br�bisson, 1835	596169	
Scenedesmus quadricauda var. maximus	696154	exact	Scenedesmus quadricauda var. maximus	West & G.S.West, 1895	249713	Desmodesmus maximus	(West & G.S.West) Hegewald, 2000	249713	
Scenedesmus smithii	622917	exact	Scenedesmus smithii	Teiling, 1942				622917	
Scenedesmus planctonicus	661421	exact	Scenedesmus planctonicus	(Korshikov) Fott, 1973	613604	Pseudodidymocystis planctonica	(Korshikov) E.Hegewald & Deason, 1989	613604	
Didymocystis	600814							600814	
Hofmania	577864	exact	Hofmania	Heister ex Fabricius, 1759	577864	Hofmania	Heister ex Fabricius, 1759	577864	
Microspora	144202	exact	Microspora	Thuret, 1850	144202	Microspora	Thuret, 1850	144202	
Chaetophora	143931	exact	Chaetophora	Schrank, 1783	143931	Chaetophora	Schrank, 1783	143931	
Stromatella	143939	exact	Stromatella	Kornmann & Sahling, 1985	836601	Neostromatella	M.J.Wynne, G.Furnari & R.Nielsen, 2014	836601	
Uronema	143943							143943	
Uronema marinus	172341		Uronema marinum	Dujardin, 1841	172341	Uronema marinum	Dujardin, 1841	172341	manually corrected
Chaetonema	600757	exact	Chaetonema	Nowakowski, 1876	600757	Chaetonema	Nowakowski, 1876	600757	
Oedogonium calcareum	616392	exact	Oedogonium calcareum	Cleve & Wittrock, 1900	616392	Oedogonium calcareum	Cleve & Wittrock, 1900	616392	
Oedogonium richterianum	649790	exact	Oedogonium richterianum	Lemmermann ex Hirn, 1900	649790	Oedogonium richterianum	Lemmermann ex Hirn, 1900	649790	
Oedogonium subglobosum	652620	exact	Oedogonium subglobosum	(Wittrock) Tiffany	652620	Oedogonium subglobosum	(Wittrock) Tiffany	652620	
Korschikoviella	447748	phonetic	Korshikoviella	P.C.Silva, 1959	447748	Korshikoviella	P.C.Silva, 1959	447748	
Dactylosphaerium	248114	exact	Dactylosphaerium	Steinecke, 1916	248114	Dactylosphaerium	Steinecke, 1916	248114	
Coccomyxa	143947	exact	Coccomyxa	Schmidle, 1901	143947	Coccomyxa	Schmidle, 1901	143947	
Acanthosphaera	293236	exact	Acanthosphaera	Lemmermann, 1899	293236	Acanthosphaera	Lemmermann, 1899	293236	
Sphaerocystis	248169	exact	Sphaerocystis	R.Chodat, 1897	248169	Sphaerocystis	R.Chodat, 1897	248169	
Hemitoma	601028	exact	Hemitoma	Skuja, 1939	601028	Hemitoma	Skuja, 1939	601028	
Eudorina elegans	390665	exact	Eudorina elegans	Ehrenberg, 1832	390665	Eudorina elegans	Ehrenberg, 1832	390665	
Pandorina	178919	exact	Pandorina	Bory de Saint-Vincent, 1824	178919	Pandorina	Bory de Saint-Vincent, 1824	178919	
Haematococcus	428522	exact	Haematococcus	Flotow, 1844	428522	Haematococcus	Flotow, 1844	428522	
Carteria	367250	exact	Carteria	Diesing, 1866	367250	Carteria	Diesing, 1866	367250	
Carteria globosa	238801	exact	Carteria globosa	Korshikov, 1927	555694	Carteria pseudoglobosa	Ettl, 1979	555694	
