ScientificName	AphiaID	Match type	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	used_aphia_id	comment
Staurastrum pseudopelagicum	611310	exact	Staurastrum pseudopelagicum	West & G.S.West, 1903	611310	Staurastrum pseudopelagicum	West & G.S.West, 1903	611310	
Staurastrum punctulatum	609219	exact	Staurastrum punctulatum	Brébisson, 1848	609219	Staurastrum punctulatum	Brébisson, 1848	609219	
Staurastrum rotula	609226	exact	Staurastrum rotula	Nordstedt, 1869	609226	Staurastrum rotula	Nordstedt, 1869	609226	
Staurastrum sebaldi	704773	exact	Staurastrum sebaldi		704773	Staurastrum sebaldi		704773	
Staurastrum sebaldi var. ornatum f. planctonicum	706693	exact	Staurastrum sebaldi var. ornatum f. planctonicum	(Lütkemüller) Teiling, 1947				706693	
Staurastrum sexangulare	609233	exact	Staurastrum sexangulare	(Bulnheim) Rabenhorst, 1863	609233	Staurastrum sexangulare	(Bulnheim) Rabenhorst, 1863	609233	
Staurastrum smithii	609235	exact	Staurastrum smithii	Teiling, 1946	609235	Staurastrum smithii	Teiling, 1946	609235	
Staurastrum smithii var. verrucosum	685626	exact	Staurastrum smithii var. verrucosum	Nygaard, 1950	839239	Staurastrum nygaardii	Coesel & Meesters, 2013	839239	
Staurastrum subnudibrachiatum	611322	exact	Staurastrum subnudibrachiatum	West & G.S.West, 1905	611322	Staurastrum subnudibrachiatum	West & G.S.West, 1905	611322	
Staurastrum teliferum	611324	exact	Staurastrum teliferum	Ralfs, 1848	611324	Staurastrum teliferum	Ralfs, 1848	611324	
Staurastrum tetracerum	577905	exact	Staurastrum tetracerum	Ralfs ex Ralfs, 1848	577905	Staurastrum tetracerum	Ralfs ex Ralfs, 1848	577905	
Staurastrum tetracerum var. trigonum	846579	exact	Staurastrum tetracerum var. trigonum	P.Lundell	846579	Staurastrum tetracerum var. trigonum	P.Lundell	846579	
Staurastrum tohopekaligense	609252	exact	Staurastrum tohopekaligense	Wolle, 1885	609252	Staurastrum tohopekaligense	Wolle, 1885	609252	
Staurastrum uplandicum	625480	exact	Staurastrum uplandicum	Teiling				625480	
Staurastrum vestitum	609256	exact	Staurastrum vestitum	Ralfs, 1848	609256	Staurastrum vestitum	Ralfs, 1848	609256	
Staurastrum alternans	162941	exact	Staurastrum alternans	Brébisson, 1848	162941	Staurastrum alternans	Brébisson, 1848	162941	
Phycastrum	601944	exact	Phycastrum	Kützing ex Kützing, 1849	601944	Phycastrum	Kützing ex Kützing, 1849	601944	
Phycastrum granulosum	638664	exact	Phycastrum granulosum	(Ehrenberg) Kützing, 1845	611288	Staurastrum granulosum	Ralfs, 1848	611288	
Staurodesmus	577680	exact	Staurodesmus	Teiling, 1948	577680	Staurodesmus	Teiling, 1948	577680	
Staurodesmus glaber var. limnophilus	673169	exact	Staurodesmus glaber var. limnophilus	Teiling, 1967	673169	Staurodesmus glaber var. limnophilus	Teiling, 1967	673169	
Staurodesmus incus var. ralfsii	578410	exact	Staurodesmus incus var. ralfsii	(West) Teiling, 1967	627415	Staurodesmus ralfsii	(West) Tomaszewicz, 1988	627415	
Staurodesmus dejectus	578386	exact	Staurodesmus dejectus	(Brébisson) Teiling, 1954	578386	Staurodesmus dejectus	(Brébisson) Teiling, 1954	578386	
Staurodesmus extensus	609271	exact	Staurodesmus extensus	(O.F.Andersson) Teiling, 1948	609271	Staurodesmus extensus	(O.F.Andersson) Teiling, 1948	609271	
Staurodesmus extensus var. joshuae	673168	exact	Staurodesmus extensus var. joshuae	(Gutwinski) Teiling, 1967	673168	Staurodesmus extensus var. joshuae	(Gutwinski) Teiling, 1967	673168	
Staurodesmus extensus var. isthmosus	673515	exact	Staurodesmus extensus var. isthmosus	(Heimerl) Coesel, 1993	673515	Staurodesmus extensus var. isthmosus	(Heimerl) Coesel, 1993	673515	
Staurodesmus glaber	609273	exact	Staurodesmus glaber	(Ralfs) Teiling, 1948	609273	Staurodesmus glaber	(Ralfs) Teiling, 1948	609273	
Staurodesmus indentatus	609274	exact	Staurodesmus indentatus	(West & G.S.West) Teiling, 1948	674113	Staurodesmus incus var. indentatus	(West & G.S.West) Coesel & Meesters, 2007	674113	
Staurodesmus lanceolatus	611336	exact	Staurodesmus lanceolatus	(W.Archer) Croasdale, 1967	661130	Staurastrum lanceolatum	W.Archer, 1862	661130	
Staurodesmus lanceolatus var. rotund.	611336	exact	Staurodesmus lanceolatus	(W.Archer) Croasdale, 1967	661130	Staurastrum lanceolatum	W.Archer, 1862	661130	
Staurodesmus mamillatus	661136	exact	Staurodesmus mamillatus	(Nordstedt) Teiling, 1967	661136	Staurodesmus mamillatus	(Nordstedt) Teiling, 1967	661136	
Staurodesmus mamillatus var. maximus	671051	exact	Staurodesmus mamillatus var. maximus	(West) Teiling, 1967	671051	Staurodesmus mamillatus var. maximus	(West) Teiling, 1967	671051	
Staurodesmus megacanthus	578396	exact	Staurodesmus megacanthus	(P.Lundell) Thunmark, 1948	578396	Staurodesmus megacanthus	(P.Lundell) Thunmark, 1948	578396	
Staurodesmus megacanthus var. scoticus	672821	exact	Staurodesmus megacanthus var. scoticus	(West & G.S West) S.Lillieroth, 1950	672821	Staurodesmus megacanthus var. scoticus	(West & G.S West) S.Lillieroth, 1950	672821	
Staurodesmus megacanthus var. subcurvatus	675028	exact	Staurodesmus megacanthus var. subcurvatus	(M.F.Rich) Teiling	675028	Staurodesmus megacanthus var. subcurvatus	(M.F.Rich) Teiling	675028	
Staurodesmus mucronatus	1306572	exact	Staurodesmus mucronatus	(Nägeli) Thomasson, 1955	1306572	Staurodesmus mucronatus	(Nägeli) Thomasson, 1955	1306572	
Staurodesmus patens	609279	exact	Staurodesmus patens	(Nordstedt) Croasdale, 1957	609279	Staurodesmus patens	(Nordstedt) Croasdale, 1957	609279	
Staurodesmus patens var. maximus	674334	exact	Staurodesmus patens var. maximus	Teiling, 1967	674334	Staurodesmus patens var. maximus	Teiling, 1967	674334	
Staurodesmus sellatus	611341	exact	Staurodesmus sellatus	(Teiling) Teiling, 1948	611341	Staurodesmus sellatus	(Teiling) Teiling, 1948	611341	
Staurodesmus spencerianus	609283	exact	Staurodesmus spencerianus	(Nordstedt) Teiling, 1948	609283	Staurodesmus spencerianus	(Nordstedt) Teiling, 1948	609283	
Staurodesmus spencerianus var. gracilis	675033	exact	Staurodesmus spencerianus var. gracilis	(Lütkemüller) Teiling	675033	Staurodesmus spencerianus var. gracilis	(Lütkemüller) Teiling	675033	
Staurodesmus triangularis	609286	exact	Staurodesmus triangularis	(Lagerheim) Teiling, 1948	609286	Staurodesmus triangularis	(Lagerheim) Teiling, 1948	609286	
Staurodesmus triangularis var. limneticus	675035	exact	Staurodesmus triangularis var. limneticus	Teiling, 1967	675035	Staurodesmus triangularis var. limneticus	Teiling, 1967	675035	
Staurodesmus triangularis var. subhexagonus	674353	exact	Staurodesmus triangularis var. subhexagonus	(West & G.S.West) Teiling, 1967	674353	Staurodesmus triangularis var. subhexagonus	(West & G.S.West) Teiling, 1967	674353	
Staurodesmus bulnheimii	609266	exact	Staurodesmus bulnheimii	(Raciborski) Round & A.J.Brook, 1959	609266	Staurodesmus bulnheimii	(Raciborski) Round & A.J.Brook, 1959	609266	
Staurodesmus bulnheimii var. huitfeldtii	675012	exact	Staurodesmus bulnheimii var. huitfeldtii	(K.Strom) Teiling	675012	Staurodesmus bulnheimii var. huitfeldtii	(K.Strom) Teiling	675012	
Staurodesmus clepsydra	661135	exact	Staurodesmus clepsydra	(Nordstedt) Teiling, 1948	617162	Staurastrum clepsydra	Nordstedt, 1870	617162	
Staurodesmus convergens	578453	exact	Staurodesmus convergens	(Ehrenberg ex Ralfs) S.Lillieroth, 1950	578453	Staurodesmus convergens	(Ehrenberg ex Ralfs) S.Lillieroth, 1950	578453	
Staurodesmus corniculatus	609268	exact	Staurodesmus corniculatus	(P.Lundell) Teiling, 1967	609268	Staurodesmus corniculatus	(P.Lundell) Teiling, 1967	609268	
Teilingia	600849	exact	Teilingia	Bourrelly, 1964	600849	Teilingia	Bourrelly, 1964	600849	
Teilingia granulata	609291	exact	Teilingia granulata	(J.Roy & Bisset) Bourrelly, 1964	609291	Teilingia granulata	(J.Roy & Bisset) Bourrelly, 1964	609291	
Teilingia excavata	609290	exact	Teilingia excavata	(Ralfs ex Ralfs) Bourrelly, 1964	609290	Teilingia excavata	(Ralfs ex Ralfs) Bourrelly, 1964	609290	
Teilingia wallichii	609292	exact	Teilingia wallichii	(D.L.Jacobsen) Bourrelly, 1964	609292	Teilingia wallichii	(D.L.Jacobsen) Bourrelly, 1964	609292	
Xanthidium octocorne	661450	exact	Xanthidium octocorne	Ehrenberg ex Ralfs, 1848	839096	Staurodesmus octocornis	(Ehrenberg ex Ralfs) Stastny, Skaloud & Neustupa, 2013	839096	
Xanthidium subhastiferum	578413	exact	Xanthidium subhastiferum	West, 1892	578413	Xanthidium subhastiferum	West, 1892	578413	
Xanthidium subhastiferum var. murrayi	671729	exact	Xanthidium subhastiferum var. murrayi	West & G.S.West, 1903	671729	Xanthidium subhastiferum var. murrayi	West & G.S.West, 1903	671729	
Xanthidium tetracentrotum	611350	exact	Xanthidium tetracentrotum	Wolle, 1882	611350	Xanthidium tetracentrotum	Wolle, 1882	611350	
Xanthidium tetracentrotum var. protuberans	675244	exact	Xanthidium tetracentrotum var. protuberans	(West & G.S.West) West & G.S.West, 1912	675244	Xanthidium tetracentrotum var. protuberans	(West & G.S.West) West & G.S.West, 1912	675244	
Xanthidium antilopaeum	577683	exact	Xanthidium antilopaeum	Kützing, 1849	577683	Xanthidium antilopaeum	Kützing, 1849	577683	
Xanthidium antilopaeum var. dimazum	673380	exact	Xanthidium antilopaeum var. dimazum	Nordstedt	673380	Xanthidium antilopaeum var. dimazum	Nordstedt	673380	
Xanthidium armatum	609304	exact	Xanthidium armatum	Brébisson ex Ralfs, 1848	609304	Xanthidium armatum	Brébisson ex Ralfs, 1848	609304	
Xanthidium concinnum	611347	exact	Xanthidium concinnum	W.Archer, 1883	611347	Xanthidium concinnum	W.Archer, 1883	611347	
Xanthidium cristatum	609309	exact	Xanthidium cristatum	Brébisson ex Ralfs, 1848	609309	Xanthidium cristatum	Brébisson ex Ralfs, 1848	609309	
Haplotaenium	601070	exact	Haplotaenium	T.Bando, 1988	601070	Haplotaenium	T.Bando, 1988	601070	
Haplotaenium minutum	611216	exact	Haplotaenium minutum	(Ralfs) Bando, 1988	611216	Haplotaenium minutum	(Ralfs) Bando, 1988	611216	
Closteriaceae	573992	exact	Closteriaceae	Bessey, 1907	573992	Closteriaceae	Bessey, 1907	573992	
Closterium	162725	exact	Closterium	Nitzsch ex Ralfs, 1848	162725	Closterium	Nitzsch ex Ralfs, 1848	162725	
Closterium acerosum	578389	exact	Closterium acerosum	Ehrenberg ex Ralfs, 1848	578389	Closterium acerosum	Ehrenberg ex Ralfs, 1848	578389	
Closterium aciculare	572006	exact	Closterium aciculare	T.West, 1860	572006	Closterium aciculare	T.West, 1860	572006	
Closterium acutum	162726	exact	Closterium acutum	Brébisson, 1848	162726	Closterium acutum	Brébisson, 1848	162726	
Closterium acutum var. variabile	670627	exact	Closterium acutum var. variabile	(Lemmermann) Willi Krieger, 1935	670627	Closterium acutum var. variabile	(Lemmermann) Willi Krieger, 1935	670627	
Closterium acutum var. acutum	1304621	exact	Closterium acutum var. acutum	Brébisson, 1848	1304621	Closterium acutum var. acutum	Brébisson, 1848	1304621	
Closterium acutum var. linea	670626	exact	Closterium acutum var. linea	(Perty) West & G.S.West, 1900	670626	Closterium acutum var. linea	(Perty) West & G.S.West, 1900	670626	
Closterium ceratium	608724	exact	Closterium ceratium	Perty, 1852	608724	Closterium ceratium	Perty, 1852	608724	
Closterium cornu	608726	exact	Closterium cornu	Ehrenberg ex Ralfs, 1848	608726	Closterium cornu	Ehrenberg ex Ralfs, 1848	608726	
Closterium costatum	608727	exact	Closterium costatum	Corda ex Ralfs, 1848	608727	Closterium costatum	Corda ex Ralfs, 1848	608727	
Closterium dianae	577663	exact	Closterium dianae	Ehrenberg ex Ralfs, 1848	577663	Closterium dianae	Ehrenberg ex Ralfs, 1848	577663	
Closterium dianae var. arcuatum	670635	exact	Closterium dianae var. arcuatum	(Brebisson ex Ralfs) Rabenhorst, 1868	670635	Closterium dianae var. arcuatum	(Brebisson ex Ralfs) Rabenhorst, 1868	670635	
Closterium ehrenbergii	409588	exact	Closterium ehrenbergii	Meneghini ex Ralfs, 1848	409588	Closterium ehrenbergii	Meneghini ex Ralfs, 1848	409588	
Closterium gracile	577818	exact	Closterium gracile	Brébisson ex Ralfs, 1848	577818	Closterium gracile	Brébisson ex Ralfs, 1848	577818	
Closterium idiosporum	608732	exact	Closterium idiosporum	West & G.S.West, 1900	608732	Closterium idiosporum	West & G.S.West, 1900	608732	
Closterium jenneri	608735	exact	Closterium jenneri	Ralfs, 1848	608735	Closterium jenneri	Ralfs, 1848	608735	
Closterium juncidum	616457	exact	Closterium juncidum	Ralfs, 1848	616457	Closterium juncidum	Ralfs, 1848	616457	
Closterium kuetzingii	409590	exact	Closterium kuetzingii	Brébisson, 1856	409590	Closterium kuetzingii	Brébisson, 1856	409590	
Closterium lanceolatum	608737	exact	Closterium lanceolatum	Kützing ex Ralfs, 1848	608737	Closterium lanceolatum	Kützing ex Ralfs, 1848	608737	
Closterium laterale	611028	exact	Closterium laterale	Nordstedt, 1880	611028	Closterium laterale	Nordstedt, 1880	611028	
Closterium leibleinii	608738	exact	Closterium leibleinii	Kützing ex Ralfs, 1848	608738	Closterium leibleinii	Kützing ex Ralfs, 1848	608738	
Closterium limneticum	611029	exact	Closterium limneticum	Lemmermann, 1899	611029	Closterium limneticum	Lemmermann, 1899	611029	
Closterium limneticum var. tenue	671538	exact	Closterium limneticum var. tenue	Lemmermann, 1899	577818	Closterium gracile	Brébisson ex Ralfs, 1848	577818	
Closterium lineatum	608739	exact	Closterium lineatum	Ehrenberg ex Ralfs, 1848	608739	Closterium lineatum	Ehrenberg ex Ralfs, 1848	608739	
Closterium littorale	611030	exact	Closterium littorale	F.Gay, 1884	611030	Closterium littorale	F.Gay, 1884	611030	
Closterium lunula	608740	exact	Closterium lunula	Ehrenberg & Hemprich ex Ralfs, 1848	608740	Closterium lunula	Ehrenberg & Hemprich ex Ralfs, 1848	608740	
Closterium moniliferum	577666	exact	Closterium moniliferum	Ehrenberg ex Ralfs, 1848	577666	Closterium moniliferum	Ehrenberg ex Ralfs, 1848	577666	
Closterium parvulum	162727	exact	Closterium parvulum	Nägeli, 1849	162727	Closterium parvulum	Nägeli, 1849	162727	
Closterium strigosum	578388	exact	Closterium strigosum	Brébisson, 1856	578388	Closterium strigosum	Brébisson, 1856	578388	
Closterium nordstedtii var. polystictum	671543	exact	Closterium nordstedtii var. polystictum	(Nygaard) Ruzicka, 1975	671543	Closterium nordstedtii var. polystictum	(Nygaard) Ruzicka, 1975	671543	
Closterium praelongum	608748	exact	Closterium praelongum	Brébisson, 1856	608748	Closterium praelongum	Brébisson, 1856	608748	
Closterium pronum	431957	exact	Closterium pronum	Brébisson, 1856	431957	Closterium pronum	Brébisson, 1856	431957	
Closterium pygmaeum	608750	exact	Closterium pygmaeum	Gutwinski, 1890	608750	Closterium pygmaeum	Gutwinski, 1890	608750	
Closterium ralfsii	608751	exact	Closterium ralfsii	Brébisson ex Ralfs, 1848	608751	Closterium ralfsii	Brébisson ex Ralfs, 1848	608751	
Closterium ralfsii var. hybridum	670662	exact	Closterium ralfsii var. hybridum	Rabenhorst, 1863	670662	Closterium ralfsii var. hybridum	Rabenhorst, 1863	670662	
Closterium setaceum	608756	exact	Closterium setaceum	Ehrenberg ex Ralfs, 1848	608756	Closterium setaceum	Ehrenberg ex Ralfs, 1848	608756	
Closterium sigmoideum	668520	exact	Closterium sigmoideum	Lagerheim & Nordstedt, 1893	578389	Closterium acerosum	Ehrenberg ex Ralfs, 1848	578389	
Closterium littorale var. crassum	671540	exact	Closterium littorale var. crassum	West & G.S.West, 1896	671540	Closterium littorale var. crassum	West & G.S.West, 1896	671540	
Closterium subpronum	668148	exact	Closterium subpronum	West & G.S.West, 1894	572006	Closterium aciculare	T.West, 1860	572006	
Closterium striolatum	608757	exact	Closterium striolatum	Ehrenberg ex Ralfs, 1848	608757	Closterium striolatum	Ehrenberg ex Ralfs, 1848	608757	
Closterium tumidulum	611038	exact	Closterium tumidulum	F.Gay, 1884	611038	Closterium tumidulum	F.Gay, 1884	611038	
Closterium venus	608765	exact	Closterium venus	Kützing ex Ralfs, 1848	608765	Closterium venus	Kützing ex Ralfs, 1848	608765	
Mesotaeniaceae	599730	exact	Mesotaeniaceae		599730	Mesotaeniaceae		599730	
Cylindrocystis	600852	exact	Cylindrocystis	Meneghini ex De Bary, 1858	600852	Cylindrocystis	Meneghini ex De Bary, 1858	600852	
Cylindrocystis brebissonii	609327	exact	Cylindrocystis brebissonii	(Ralfs) de Bary, 1858	609327	Cylindrocystis brebissonii	(Ralfs) de Bary, 1858	609327	
Netrium	600891	exact	Netrium	(Nägeli) Itzigsohn & Rothe, 1856	600891	Netrium	(Nägeli) Itzigsohn & Rothe, 1856	600891	
Netrium digitus	699368	exact	Netrium digitus	(Brébisson ex Ralfs) Itzigsohn & Rothe, 1856	699368	Netrium digitus	(Brébisson ex Ralfs) Itzigsohn & Rothe, 1856	699368	
Netrium digitus var. naegelii	707343	exact	Netrium digitus var. naegelii	(Brébisson ex W.Archer) Willi Krieger, 1933				707343	
Mesotaenium degreyi	609335	exact	Mesotaenium degreyi	W.B.Turner, 1886	609335	Mesotaenium degreyi	W.B.Turner, 1886	609335	
Mesotaenium endlicherianum	611220	exact	Mesotaenium endlicherianum	Nägeli, 1849	611220	Mesotaenium endlicherianum	Nägeli, 1849	611220	
Mesotaenium chlamydosporum var. violascens	672919	exact	Mesotaenium chlamydosporum var. violascens	(de Bary) Willi Krieger, 1935	672919	Mesotaenium chlamydosporum var. violascens	(de Bary) Willi Krieger, 1935	672919	
Peniaceae	493902	exact	Peniaceae	Haeckel, 1894	493902	Peniaceae	Haeckel, 1894	493902	
Gonatozygon	494173	exact	Gonatozygon	de Bary, 1858	494173	Gonatozygon	de Bary, 1858	494173	
Gonatozygon monotaenium	609333	exact	Gonatozygon monotaenium	De Bary, 1856	609333	Gonatozygon monotaenium	De Bary, 1856	609333	
Gonatozygon brebissonii	503901	exact	Gonatozygon brebissonii	De Bary, 1858	503901	Gonatozygon brebissonii	De Bary, 1858	503901	
Penium	600844	exact	Penium	Brébisson ex Ralfs, 1848	600844	Penium	Brébisson ex Ralfs, 1848	600844	
Klebsormidiophyceae	368673	exact	Klebsormidiophyceae	C. van den Hoek, D.G. Mann & H.M. Jahns, 1995	368673	Klebsormidiophyceae	C. van den Hoek, D.G. Mann & H.M. Jahns, 1995	368673	
Klebsormidiales	22970	exact	Klebsormidiales		22970	Klebsormidiales		22970	
Klebsormidiaceae	368782	exact	Klebsormidiaceae	K.D. Stewart & K.R. Mattox, 1975	368782	Klebsormidiaceae	K.D. Stewart & K.R. Mattox, 1975	368782	
Klebsormidium	369816	exact	Klebsormidium	P.C.Silva, K.Mattox & W.Blackwell, 1972	369816	Klebsormidium	P.C.Silva, K.Mattox & W.Blackwell, 1972	369816	
Klebsormidium flaccidum	608215	exact	Klebsormidium flaccidum	(Kützing) P.C.Silva, K.R.Mattox & W.H.Blackwell, 1972	608215	Klebsormidium flaccidum	(Kützing) P.C.Silva, K.R.Mattox & W.H.Blackwell, 1972	608215	
Klebsormidium montanum	612947	exact	Klebsormidium montanum	(Hansgirg) Shin Watanabe, 1983	612947	Klebsormidium montanum	(Hansgirg) Shin Watanabe, 1983	612947	
Klebsormidium rivulare	661431	exact	Klebsormidium rivulare	(Kützing) M.O.Morison & Sheath, 1985	661431	Klebsormidium rivulare	(Kützing) M.O.Morison & Sheath, 1985	661431	
Klebsormidium subtile	1309804	exact	Klebsormidium subtile	(Kützing) Mikhailyuk, Glaser, Holzinger & Karsten, 2015	1309804	Klebsormidium subtile	(Kützing) Mikhailyuk, Glaser, Holzinger & Karsten, 2015	1309804	
Elakatotrichaceae	572034	exact	Elakatotrichaceae		572034	Elakatotrichaceae		572034	
Elakatothrix	572035	exact	Elakatothrix	Wille, 1898	572035	Elakatothrix	Wille, 1898	572035	
Elakatothrix viridis	572037	exact	Elakatothrix viridis	(J.W.Snow) Printz, 1914	661077	Fusola viridis	J.W.Snow, 1903	661077	
Elakatothrix gelatinosa	572036	exact	Elakatothrix gelatinosa	Wille, 1898	572036	Elakatothrix gelatinosa	Wille, 1898	572036	
Elakatothrix biplex	622694	exact	Elakatothrix biplex	(Nygaard) Hindák, 1962	622694	Elakatothrix biplex	(Nygaard) Hindák, 1962	622694	
Elakatothrix genevensis	578431	exact	Elakatothrix genevensis	(Reverdin) Hindák, 1962	578431	Elakatothrix genevensis	(Reverdin) Hindák, 1962	578431	
Chlorophyta	801	exact	Chlorophyta	Pascher, 1914	801	Chlorophyta	Pascher, 1914	801	
Spirogyra princeps	625323	exact	Spirogyra princeps	(Vaucher) Link ex Meyen, 1827	625323	Spirogyra princeps	(Vaucher) Link ex Meyen, 1827	625323	
Spirogyra tenuissima	609406	exact	Spirogyra tenuissima	(Hassall) Kützing, 1849	609406	Spirogyra tenuissima	(Hassall) Kützing, 1849	609406	
Spirogyra velata	611247	exact	Spirogyra velata	Nordstedt, 1873	611247	Spirogyra velata	Nordstedt, 1873	611247	
Spirogyra fennica	616795	exact	Spirogyra fennica	Cedercreutz, 1924	616795	Spirogyra fennica	Cedercreutz, 1924	616795	
Spirogyra weberi	609410	exact	Spirogyra weberi	Kützing, 1843	609410	Spirogyra weberi	Kützing, 1843	609410	
Spirogyra majuscula	609389	exact	Spirogyra majuscula	Kützing, 1849	609389	Spirogyra majuscula	Kützing, 1849	609389	
Spirogyra reticulata	616445	exact	Spirogyra reticulata	Nordstedt, 1880	616445	Spirogyra reticulata	Nordstedt, 1880	616445	
Spirogyra parva	611240	exact	Spirogyra parva	(Hassall) Kützing, 1849	611240	Spirogyra parva	(Hassall) Kützing, 1849	611240	
Spirogyra crassa	609370	exact	Spirogyra crassa	(Kützing) Kützing, 1843	609370	Spirogyra crassa	(Kützing) Kützing, 1843	609370	
Spirogyra lagerheimii	656140	exact	Spirogyra lagerheimii	Wittrock, 1889	656140	Spirogyra lagerheimii	Wittrock, 1889	656140	
Spirogyra hyalina	622934	exact	Spirogyra hyalina	Cleve, 1868	622934	Spirogyra hyalina	Cleve, 1868	622934	
Spirogyra varians	609409	exact	Spirogyra varians	(Hassall) Kützing, 1849	609409	Spirogyra varians	(Hassall) Kützing, 1849	609409	
Spirogyra areolata	625476	exact	Spirogyra areolata	Lagerheim, 1883	625476	Spirogyra areolata	Lagerheim, 1883	625476	
Spirogyra mirabilis	609391	exact	Spirogyra mirabilis	(Hassall) Kützing, 1849	609391	Spirogyra mirabilis	(Hassall) Kützing, 1849	609391	
Spirogyra maxima	609390	exact	Spirogyra maxima	(Hassall) Wittrock, 1882	609390	Spirogyra maxima	(Hassall) Wittrock, 1882	609390	
Spirogyra denticulata	708003	exact	Spirogyra denticulata	Transeau, 1934	708003	Spirogyra denticulata	Transeau, 1934	708003	
Mougeotia viridis	609359	exact	Mougeotia viridis	(Kützing) Wittrock, 1872	609359	Mougeotia viridis	(Kützing) Wittrock, 1872	609359	
Mougeotia gracillima	609347	exact	Mougeotia gracillima	(Hassall) Wittrock, 1872	609347	Mougeotia gracillima	(Hassall) Wittrock, 1872	609347	
Mougeotia abnormis	616425	exact	Mougeotia abnormis	Kisselev, 1927	616425	Mougeotia abnormis	Kisselev, 1927	616425	
Mougeotia punctata	625437	exact	Mougeotia punctata	(Wittrock) De Toni, 1889	625437	Mougeotia punctata	(Wittrock) De Toni, 1889	625437	
Mougeotia transeaui	614480	exact	Mougeotia transeaui	Collins, 1912	614480	Mougeotia transeaui	Collins, 1912	614480	
Mougeotia elegantula	611224	exact	Mougeotia elegantula	Wittrock, 1872	611224	Mougeotia elegantula	Wittrock, 1872	611224	
Mougeotia parvula	609351	exact	Mougeotia parvula	Hassall, 1843	609351	Mougeotia parvula	Hassall, 1843	609351	
Mougeotia calcarea	616428	exact	Mougeotia calcarea	(Cleve) Wittrock, 1872	616428	Mougeotia calcarea	(Cleve) Wittrock, 1872	616428	
Mougeotia gelatinosa	609345	exact	Mougeotia gelatinosa	Wittrock, 1889	609345	Mougeotia gelatinosa	Wittrock, 1889	609345	
Zygnema peliosporum	614560	exact	Zygnema peliosporum	Wittrock, 1868	614560	Zygnema peliosporum	Wittrock, 1868	614560	
Zygnema cyanosporum	620193	exact	Zygnema cyanosporum	Cleve, 1868	620193	Zygnema cyanosporum	Cleve, 1868	620193	
Zygnema stellinum	609424	exact	Zygnema stellinum	(O.F.Müller) C.Agardh, 1824	609424	Zygnema stellinum	(O.F.Müller) C.Agardh, 1824	609424	
Mougeotiopsis	601845	exact	Mougeotiopsis	Palla, 1894	601845	Mougeotiopsis	Palla, 1894	601845	
Zygnemopsis	600898	exact	Zygnemopsis	(Skuja) Transeau, 1934	600898	Zygnemopsis	(Skuja) Transeau, 1934	600898	
Zygnemopsis spiralis	621240	exact	Zygnemopsis spiralis	(F.E.Fritsch) Transeau, 1934	621240	Zygnemopsis spiralis	(F.E.Fritsch) Transeau, 1934	621240	
Mesotaenium	600854	exact	Mesotaenium	Nägeli, 1849	600854	Mesotaenium	Nägeli, 1849	600854	
Mesotaenium chlamydosporum	611219	exact	Mesotaenium chlamydosporum	De Bary, 1858	611219	Mesotaenium chlamydosporum	De Bary, 1858	611219	
Mesotaenium macrococcum	609336	exact	Mesotaenium macrococcum	(Kützing ex Kützing) J.Roy & Bisset, 1894	609336	Mesotaenium macrococcum	(Kützing ex Kützing) J.Roy & Bisset, 1894	609336	
Penium polymorphum	609076	exact	Penium polymorphum	(Perty) Perty, 1852	609076	Penium polymorphum	(Perty) Perty, 1852	609076	
Ulvophyceae	146216	exact	Ulvophyceae	K.R. Mattox & K.D. Stewart, 1978	146216	Ulvophyceae	K.R. Mattox & K.D. Stewart, 1978	146216	
Cladophorales	813	exact	Cladophorales	Haeckel, 1894	813	Cladophorales	Haeckel, 1894	813	
Cladophoraceae	143687	exact	Cladophoraceae	Wille, 1884	143687	Cladophoraceae	Wille, 1884	143687	
Chaetomorpha	143995	exact	Chaetomorpha	Kützing, 1845	143995	Chaetomorpha	Kützing, 1845	143995	
Chaetomorpha melagonium	145029	exact	Chaetomorpha melagonium	(F.Weber & D.Mohr) Kützing, 1845	145029	Chaetomorpha melagonium	(F.Weber & D.Mohr) Kützing, 1845	145029	
Chaetomorpha linum	145027	exact	Chaetomorpha linum	(O.F.Müller) Kützing, 1845	145027	Chaetomorpha linum	(O.F.Müller) Kützing, 1845	145027	
Chaetomorpha herbipolensis	526236	exact	Chaetomorpha herbipolensis	Lagerheim, 1887	526236	Chaetomorpha herbipolensis	Lagerheim, 1887	526236	
Rhizoclonium	143997	exact	Rhizoclonium	Kützing, 1843	143997	Rhizoclonium	Kützing, 1843	143997	
Chaetomorpha ligustica	145026	exact	Chaetomorpha ligustica	(Kützing) Kützing, 1849	145026	Chaetomorpha ligustica	(Kützing) Kützing, 1849	145026	
Rhizoclonium riparium	145075	exact	Rhizoclonium riparium	(Roth) Harvey, 1849	145075	Rhizoclonium riparium	(Roth) Harvey, 1849	145075	
Rhizoclonium hieroglyphicum	240486	exact	Rhizoclonium hieroglyphicum	(C.Agardh) Kützing, 1845	240486	Rhizoclonium hieroglyphicum	(C.Agardh) Kützing, 1845	240486	
