Strain name	Species	Division	Class	Habitat	Strain Link	Species Link
NIVA-CYA 691	Aphanizomenon gracile	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-691	https://norcca.scrol.net/species/aphanizomenon-gracile
NIVA-CYA 693	Aphanizomenon flos-aquae	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-693	https://norcca.scrol.net/species/aphanizomenon-flos-aquae
NIVA-CYA 694	Anabaena planctonica	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-694	https://norcca.scrol.net/species/anabaena-planctonica
NIVA-CYA 695	Chrysosporum bergii	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-695	https://norcca.scrol.net/species/chrysosporum-bergii
NIVA-CYA 696	Dolichospermum lemmermannii	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-696	https://norcca.scrol.net/species/dolichospermum-lemmermannii
NIVA-CYA 697	Dolichospermum lemmermannii	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-697	https://norcca.scrol.net/species/dolichospermum-lemmermannii
NIVA-CYA 698	Dolichospermum lemmermannii	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-698	https://norcca.scrol.net/species/dolichospermum-lemmermannii
NIVA-CYA 699	Anabaenopsis elenkinii	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-699	https://norcca.scrol.net/species/anabaenopsis-elenkinii
NIVA-CYA 7	Phormidium sp.	Cyanobacteria	Cyanophyceae	Freshwater, benthic	https://norcca.scrol.net/strain/niva-cya-7	https://norcca.scrol.net/species/phormidium-sp
NIVA-CYA 70	Tychonema bourrellyi	Cyanobacteria	Cyanophyceae	Freshwater river	https://norcca.scrol.net/strain/niva-cya-70	https://norcca.scrol.net/species/tychonema-bourrellyi
NIVA-CYA 700	Anabaena planctonica	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-700	https://norcca.scrol.net/species/anabaena-planctonica
NIVA-CYA 701	Anabaena planctonica	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-701	https://norcca.scrol.net/species/anabaena-planctonica
NIVA-CYA 702	Anabaena planctonica	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-702	https://norcca.scrol.net/species/anabaena-planctonica
NIVA-CYA 704	Aphanizomenon flos-aquae	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-704	https://norcca.scrol.net/species/aphanizomenon-flos-aquae
NIVA-CYA 71	Phormidium sp.	Cyanobacteria	Cyanophyceae	Freshwater river	https://norcca.scrol.net/strain/niva-cya-71	https://norcca.scrol.net/species/phormidium-sp
NIVA-CYA 711	Cuspidothrix issatschenkoi	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-711	https://norcca.scrol.net/species/cuspidothrix-issatschenkoi
NIVA-CYA 817	Desmonostoc muscorum	Cyanobacteria	Cyanophyceae		https://norcca.scrol.net/strain/niva-cya-817	https://norcca.scrol.net/species/desmonostoc-muscorum
NIVA-CYA 818	Desmonostoc muscorum	Cyanobacteria	Cyanophyceae		https://norcca.scrol.net/strain/niva-cya-818	https://norcca.scrol.net/species/desmonostoc-muscorum
NIVA-CYA 819	Anabaena planctonica	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-819	https://norcca.scrol.net/species/anabaena-planctonica
NIVA-CYA 82	Dolichospermum sigmoideum	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-82	https://norcca.scrol.net/species/dolichospermum-sigmoideum
NIVA-CYA 820	Anabaena planctonica	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-820	https://norcca.scrol.net/species/anabaena-planctonica
NIVA-CYA 821	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-821	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 822	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-822	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 823	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-823	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 824	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-824	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 825	Anabaena planctonica	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-825	https://norcca.scrol.net/species/anabaena-planctonica
NIVA-CYA 826	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-826	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 827	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-827	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 828	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-828	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 829	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-829	https://norcca.scrol.net/species/dolichospermum-crassum
NIVA-CYA 83/1	Anabaena lemmermannii var. minor	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-831	https://norcca.scrol.net/species/anabaena-lemmermannii-var-minor
NIVA-CYA 83/2	Anabaena lemmermannii var. minor	Cyanobacteria	Cyanophyceae	Freshwater	https://norcca.scrol.net/strain/niva-cya-832	https://norcca.scrol.net/species/anabaena-lemmermannii-var-minor
NIVA-CYA 830	Dolichospermum crassum	Cyanobacteria	Cyanophyceae	Lake	https://norcca.scrol.net/strain/niva-cya-830	https://norcca.scrol.net/species/dolichospermum-crassum
