Sökterm	Matchstatus	Taxon id	Status	Vetenskapligt namn	Auktor	Svenskt namn	Kategori	Svensk förekomst	Guid	Synonymer	Rike	Fylum	Klass	Ordning	Familj	Släkte	Art
Craticula accomoda	Exakt	262465	Accepterat	Craticula accomoda	(Hust.) D.G.Mann		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262465	Navicula accomoda Hust.	Chromista	Gyrista	Bacillariophyceae	Naviculales	Stauroneidaceae	Craticula	
Climacodium biconcavum	Exakt	237361	Accepterat	Climacodium biconcavum	Cleve, 1987		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237361		Chromista	Gyrista	Mediophyceae	Hemiaulales	Hemiaulaceae	Climacodium	
Melosira moniliformis	Exakt	237441	Accepterat	Melosira moniliformis	(O.F.Müll.) C.Agardh		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237441		Chromista	Gyrista	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira	
Thalassiosira mala	Exakt	237274	Accepterat	Thalassiosira mala	Takano, 1965		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237274		Chromista	Gyrista	Mediophyceae	Thalassiosirales	Thallassiosiraceae	Thalassiosira	
Odontella longicruris	Exakt	237375	Accepterat	Odontella longicruris	(Greville) Hoban, 1983		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237375		Chromista	Gyrista	Coscinodiscophyceae	Triceratiales	Triceratiaceae	Odontella	
Diatoma vulgaris	Exakt	238027	Accepterat	Diatoma vulgaris	Bory		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238027		Chromista	Gyrista	Bacillariophyceae	Rhabdonematales	Tabellariaceae	Diatoma	
Martyana atomus	Exakt	237991	Accepterat	Martyana atomus	(Hustedt) Snoeijs, 1991		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237991		Chromista	Gyrista	Bacillariophyceae	Fragilariales	Fragilariaceae	Martyana	
Martyana schulzii	Exakt	237993	Accepterat	Martyana schulzii	(Brockmann) Snoeijs, 1991		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237993		Chromista	Gyrista	Bacillariophyceae	Fragilariales	Fragilariaceae	Martyana	
Thalassionema bacillare	Exakt	237955	Accepterat	Thalassionema bacillare	(Heiden) Kolbe, 1955		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237955		Chromista	Gyrista	Bacillariophyceae	Thalassionematales	Thalassionemataceae	Thalassionema	
Trentepohliales	Exakt	3000410	Accepterat	Trentepohliales	Chadef. ex R.H.Thomps. & Wujek		Ordning		urn:lsid: dyntaxa.se:Taxon: 3000410		Plantae	Chlorophyta	Ulvophyceae				
Trentepohliaceae	Exakt	2002572	Accepterat	Trentepohliaceae	Hansg.		Familj		urn:lsid: dyntaxa.se:Taxon: 2002572	"Chroolepidaceae ;Trentepholiaceae "	Plantae	Chlorophyta	Ulvophyceae	Trentepohliales			
Coleochaetales	Exakt	3000686	Accepterat	Coleochaetales	Chadefaud		Ordning		urn:lsid: dyntaxa.se:Taxon: 3000686		Plantae		Coleochaetophyceae				
Coleochaetaceae	Exakt	2002580	Accepterat	Coleochaetaceae	Nägeli		Familj		urn:lsid: dyntaxa.se:Taxon: 2002580		Plantae		Coleochaetophyceae	Coleochaetales			
Coleochaete	Exakt	1015615	Accepterat	Coleochaete	Bréb.	sköldalger	Släkte		urn:lsid: dyntaxa.se:Taxon: 1015615		Plantae		Coleochaetophyceae	Coleochaetales	Coleochaetaceae		
Coleochaete irregularis	Exakt	262161	Accepterat	Coleochaete irregularis	Pringsh.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262161		Plantae		Coleochaetophyceae	Coleochaetales	Coleochaetaceae	Coleochaete	
Draparnaldia	Exakt	1014420	Accepterat	Draparnaldia	Bory	vattenpenslar	Släkte		urn:lsid: dyntaxa.se:Taxon: 1014420		Plantae	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae		
Microthamnion strictissimum	Exakt	262145	Accepterat	Microthamnion strictissimum	Rabenh.		Varietet	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262145	Microthamnion kuetzingianum var. strictissimum (Rabenh.) Hansg.	Plantae	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniaceae	Microthamnion	
Stigeoclonium tenue	Exakt	232773	Accepterat	Stigeoclonium tenue	(C.Agardh) Kütz.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 232773	Draparnaldia tenuis C.Agardh	Plantae	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae	Stigeoclonium	
Tribonema affine	Exakt	237192	Accepterat	Tribonema affine	(Kütz.) G.S.West	mjuk silkestråd	Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237192	Conferva affinis Kütz.	Chromista	Gyrista	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema	
Lacrymariidae	Exakt	2003270	Accepterat	Lacrymariidae	de Fromentel, 1876		Familj		urn:lsid: dyntaxa.se:Taxon: 2003270		Chromista	Ciliophora	Litostomatea	Haptorida			
Leegaardiellidae	Exakt	2003259	Accepterat	Leegaardiellidae	Lynn & Montagnes, 1988		Familj		urn:lsid: dyntaxa.se:Taxon: 2003259		Chromista	Ciliophora	Oligotrichea	Choreotrichida			
Balanion comatum	Exakt	238537	Accepterat	Balanion comatum	Wulff, 1919		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238537		Protozoa	Protozoa, phylum incertae sedis	Protozoa, classis incertae sedis	Protozoa, ordo incertae sedis	Protozoa, familia incertae sedis	Balanion	
Tintinnopsis elongata	Exakt	238547	Accepterat	Tintinnopsis elongata	von Daday, 1887		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238547		Chromista	Ciliophora	Spirotrichea	Tintinnida	Codonellidae	Tintinnopsis	
Tintinnopsis pistillum	Exakt	238554	Accepterat	Tintinnopsis pistillum	Kofoid & Campbell, 1929		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238554		Chromista	Ciliophora	Spirotrichea	Tintinnida	Codonellidae	Tintinnopsis	
Tintinnopsis turbinata	Exakt	238556	Accepterat	Tintinnopsis turbinata	Balech, 1948		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238556		Chromista	Ciliophora	Spirotrichea	Tintinnida	Codonellidae	Tintinnopsis	
Stenosemella producta	Exakt	238522	Accepterat	Stenosemella producta	(Meunier, 1910)		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238522		Chromista	Ciliophora	Oligotrichea	Oligotrichida	Codonellopsidae	Stenosemella	
Coxliella annulata	Exakt	238557	Accepterat	Coxliella annulata			Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238557		Chromista	Ciliophora	Spirotrichea	Tintinnida	Metacylididae	Coxliella	
Ptychocylis minor	Exakt	238510	Accepterat	Ptychocylis minor	Jørgensen, 1899		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238510		Chromista	Ciliophora	Oligotrichea	Oligotrichida	Ptychocylididae	Ptychocylis	
Parafavella obtusangula	Exakt	238520	Accepterat	Parafavella obtusangula	(Ostenfeld, 1899)		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238520		Chromista	Ciliophora	Oligotrichea	Oligotrichida	Xystonellidae	Parafavella	
Asteromonas	Exakt	1010777	Accepterat	Asteromonas	Artari		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010777		Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Dunaliellaceae		
Asteromonas gracilis	Exakt	238890	Accepterat	Asteromonas gracilis	Artari		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238890		Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Dunaliellaceae	Asteromonas	
Haematococcaceae	Exakt	2003645	Accepterat	Haematococcaceae	G.M.Sm.		Familj		urn:lsid: dyntaxa.se:Taxon: 2003645		Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales			
Haematococcus	Exakt	1015223	Accepterat	Haematococcus	Flot.	blodregnsalger	Släkte		urn:lsid: dyntaxa.se:Taxon: 1015223		Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae		
Percolomonas	Exakt	1010691	Accepterat	Percolomonas			Släkte		urn:lsid: dyntaxa.se:Taxon: 1010691		Protozoa	Protozoa, phylum incertae sedis	Protozoa, classis incertae sedis	Protozoa, ordo incertae sedis	Protozoa, familia incertae sedis		
Trepomonas	Exakt	1015149	Accepterat	Trepomonas	Dujardin, 1841		Släkte		urn:lsid: dyntaxa.se:Taxon: 1015149		Protozoa	Metamonada	Trepomonadea	Distomatida	Hexamitidae		
Brachiomonas simplex	Exakt	238895	Accepterat	Brachiomonas simplex	Hazen, 1922		Art	Osäkert om påträffad	urn:lsid: dyntaxa.se:Taxon: 238895		Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Brachiomonas	
Chlamydomonas pulsatilla	Exakt	238904	Accepterat	Chlamydomonas pulsatilla	Wollenw.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238904		Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	
Dunaliella primolecta	Exakt	238912	Accepterat	Dunaliella primolecta	Butcher, 1959		Art	Osäkert om påträffad	urn:lsid: dyntaxa.se:Taxon: 238912		Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Dunaliellaceae	Dunaliella	
Luffisphaera striata	Exakt	238630	Accepterat	Luffisphaera striata	Thomsen nom. ined., in Vørs, 1992		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238630		Protozoa	Protozoa, phylum incertae sedis	Protozoa, classis incertae sedis	Protozoa, ordo incertae sedis	Protozoa, familia incertae sedis	Luffisphaera	
Paraphysomonas foraminifera	Exakt	237068	Accepterat	Paraphysomonas foraminifera	Lucas, 1967		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237068		Chromista	Gyrista	Chrysophyceae	Chromulinales	Paraphysomonadaceae	Paraphysomonas	
