Sökterm	Matchstatus	Taxon id	Status	Vetenskapligt namn	Auktor	Svenskt namn	Kategori	Svensk förekomst	Guid	Synonymer	Rike	Fylum	Klass	Ordning	Familj	Släkte	Art
Paratontonia gracillima	Ingen träff																
Tontonia appendiculariformis	Ingen träff																
Bicosoeca ainikkii	Ingen träff																
Dinophyceae incertae sedis	Ingen träff																
Dinophysis contracta	Ingen träff																
Amphidinium acutum	Ingen träff																
Gyrodinium lacryma	Ingen träff																
Corythodinium tesselatum	Ingen träff																
Astrorhiza	Manuellt val	1015195	Accepterat	Astrorhiza	Sandahl, 1858		Släkte	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 1015195	"Arenistella Fischer, 1875;Astrorhizinella Saidova, 1970"	Chromista	Retaria	Monothalamea	Astrorhizida	Astrorhizidae		
Prymnesiophyceae incertae sedis	Ingen träff																
Trigonaspis	Manuellt val	1010283	Accepterat	Trigonaspis	H.A.Thomsen		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010283		Chromista	Haptophyta	Haptophyta, classis incertae sedis	Haptophyta, ordo incertae sedis	Papposphaeraceae		
Discocelis	Manuellt val	1010339	Accepterat	Discocelis	Vørs		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010339		Chromista	Bigyra	Bikosea	Bicosoecales	Cafeteriaceae		
Chaetoceros pauciramosus	Ingen träff																
Staurosira inflata	Ingen träff																
Amylax triacantha var. triacantha	Ingen träff																
Octactis speculum	Ingen träff																
Lychaete pygmaea	Ingen träff																
Ulvella cladophorae	Ingen träff																
Scrippsiella acuminata	Ingen träff																
Cerataulus granulatus	Ingen träff																
Decussiphycus	Ingen träff																
Decussiphycus placenta	Ingen träff																
Delicatophycus	Ingen träff																
Delicatophycus delicatulus	Ingen träff																
Delicatophycus alpestris	Ingen träff																
Pediastrum angulosum var. angulosum	Manuellt val	6017994	Accepterat	Pediastrum angulosum var. angulosum			Varietet	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6017994		Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Hydrodictyaceae	Pediastrum	Pediastrum angulosum
Corythodinium mucronatum	Ingen träff																
Kryptoperidinium triquetrum	Ingen träff																
Nottbeckia ochracea	Ingen träff																
Lepocinclis cyclidiopsis	Ingen träff																
Microchloropsis salina	Ingen träff																
Apocalathium aciculiferum	Ingen träff																
Unruhdinium penardii	Ingen träff																
Salpingoeca skujae	Ingen träff																
Ceratium hirundinella f. silesiacum	Ingen träff																
Prymnesium laurentianum	Ingen träff																
Prymnesium breviturritum	Ingen träff																
Heteroscytonema crispum	Ingen träff																
Pseudococcomyxa chodatii	Ingen träff																
Apocalathium malmogiense	Ingen träff																
Borghiella pascheri	Ingen träff																
Speroidium fungiforme	Ingen träff																
Biecheleria ordinata	Ingen träff																
Jadwigia hiemalis	Ingen träff																
Jadwigia neglecta	Ingen träff																
Tripos teres	Ingen träff																
Parvodinium inconspicuum var. armatum	Ingen träff																
Apocalathium aciculiferum var. inerme	Ingen träff																
Lebouridinium glaucum	Ingen träff																
Chlorocystidaceae	Manuellt val	3000688	Accepterat	Chlorocystidaceae	Kornmann & Sahling		Familj		urn:lsid: dyntaxa.se:Taxon: 3000688		Plantae	Chlorophyta	Ulvophyceae	Ulotrichales			
Bryopsis	Manuellt val	1008579	Accepterat	Bryopsis	J.V.Lamour.	grönplymer	Släkte		urn:lsid: dyntaxa.se:Taxon: 1008579		Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Bryopsidaceae		
Derbesia	Manuellt val	1008581	Accepterat	Derbesia	Solier		Släkte		urn:lsid: dyntaxa.se:Taxon: 1008581		Plantae	Chlorophyta	Ulvophyceae	Bryopsidales	Derbesiaceae		
Chaetophora	Manuellt val	1008553	Accepterat	Chaetophora	Schrank	hårgeléalger	Släkte		urn:lsid: dyntaxa.se:Taxon: 1008553		Plantae	Chlorophyta	Chlorophyceae	Chaetophorales	Chaetophoraceae		
Gomontia	Manuellt val	1008549	Accepterat	Gomontia	Bornet & Flahault		Släkte		urn:lsid: dyntaxa.se:Taxon: 1008549		Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Gomontiaceae		
Elachista	Manuellt val	1008488	Accepterat	Elachista	Duby	tångludd	Släkte		urn:lsid: dyntaxa.se:Taxon: 1008488	Elachistea 	Chromista	Gyrista	Phaeophyceae	Ectocarpales	Chordariaceae		
Ralfsia	Manuellt val måste göras	232732	Accepterat	Pseudoralfsia verrucosa	(Areschoug) Parente, Fletcher & G.W.Saunders	ralfsia	Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 232732	"vårtig ralfsia ;Ralfsia verrucosa (Aresch.) Aresch.;Cruoria verrucosa Aresch."	Chromista	Gyrista	Phaeophyceae	Ralfsiales	Ralfsiaceae	Pseudoralfsia	
Ralfsia	Manuellt val måste göras	1008532	Accepterat	Pseudoralfsia	Parente, Fletcher & G.W.Saunders		Släkte		urn:lsid: dyntaxa.se:Taxon: 1008532	Ralfsia Berk.	Chromista	Gyrista	Phaeophyceae	Ralfsiales	Ralfsiaceae		
Giraudia	Manuellt val	1008491	Accepterat	Giraudia	Derbès & Solier		Släkte		urn:lsid: dyntaxa.se:Taxon: 1008491		Chromista	Gyrista	Phaeophyceae	Ectocarpales	Chordariaceae		
Stictyosiphon	Manuellt val	1008523	Accepterat	Stictyosiphon	Kütz.	bruntrassel	Släkte		urn:lsid: dyntaxa.se:Taxon: 1008523		Chromista	Gyrista	Phaeophyceae	Ectocarpales	Chordariaceae		
Kuckuckia	Manuellt val	1008496	Accepterat	Kuckuckia	Hamel		Släkte		urn:lsid: dyntaxa.se:Taxon: 1008496		Chromista	Gyrista	Phaeophyceae	Ectocarpales	Ectocarpaceae		
Sargassum	Manuellt val	1008547	Accepterat	Sargassum	C.Agardh	sargassotång	Släkte		urn:lsid: dyntaxa.se:Taxon: 1008547		Chromista	Gyrista	Phaeophyceae	Fucales	Sargassaceae		
Microspora	Manuellt val	1014421	Accepterat	Microspora	Thur.	hantelalger	Släkte		urn:lsid: dyntaxa.se:Taxon: 1014421		Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Microsporaceae		
Halopteris	Manuellt val	1016248	Accepterat	Halopteris	Kütz.	taggtofsar	Släkte		urn:lsid: dyntaxa.se:Taxon: 1016248	Stypocaulon Kütz.	Chromista	Gyrista	Phaeophyceae	Sphacelariales	Stypocaulaceae		
Kornmannia	Manuellt val	232791	Accepterat	Kornmannia leptoderma	(Kjellm.) Bliding	kornmannia	Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 232791	"Monostroma leptodermum Kjellm.;Monostroma helgolandicum O.C.Schmidt;Kornmannia zostericola (Tilden) Bliding"	Plantae	Chlorophyta	Ulvophyceae	Ulvales	Kornmanniaceae	Kornmannia	
Microspongium gelatinosum	Manuellt val	232685	Accepterat	Microspongium gelatinosum	Reinke		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 232685		Chromista	Gyrista	Phaeophyceae	Ectocarpales	Chordariaceae	Microspongium	
Rhizoclonium pachydermum	Ingen träff																
Feldmannia paradoxa	Manuellt val	263151	Accepterat	Feldmannia paradoxa	(Mont.) Hamel		Art	Ej påträffad	urn:lsid: dyntaxa.se:Taxon: 263151	Ectocarpus paradoxus Mont.	Chromista	Gyrista	Phaeophyceae	Ectocarpales	Acinetosporaceae	Feldmannia	
Oscillatoria	Manuellt val	6034726	Accepterat	Oscillatoria	Vaucher ex Gomont		Släkte		urn:lsid: dyntaxa.se:Taxon: 6034726		Bacteria	Cyanobacteria	Cyanophyceae	Oscillatoriales	Oscillatoriaceae		
Aphanocapsa elachista	Manuellt val	6331062	Accepterat	Aphanocapsa elachista	West & G.S.West		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6331062		Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Merismopediaceae	Aphanocapsa	
Gomphosphaeria	Manuellt val	6034724	Accepterat	Gomphosphaeria	Kütz.		Släkte		urn:lsid: dyntaxa.se:Taxon: 6034724		Bacteria	Cyanobacteria	Cyanophyceae	Chroococcales	Gomphosphaeriaceae		
Schizothrix	Manuellt val	1016286	Accepterat	Schizothrix	Kütz. ex Gomont		Släkte		urn:lsid: dyntaxa.se:Taxon: 1016286		Bacteria	Cyanobacteria	Cyanophyceae	Pseudanabaenales	Schizotrichaceae		
Fossulaphycus	Ingen träff																
Fossulaphycus arcticus	Ingen träff																
Glaucophyta	Manuellt val	5000068	Accepterat	Glaucophyta	Skuja		Fylum		urn:lsid: dyntaxa.se:Taxon: 5000068		Plantae						
Odontella	Manuellt val	1010390	Accepterat	Odontella	C.Agardh		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010390		Chromista	Gyrista	Coscinodiscophyceae	Triceratiales	Triceratiaceae		
Coscinodiscophycidae	Ingen träff																
Cocconeis placentula	Manuellt val	263735	Accepterat	Cocconeis placentula	Ehrenb.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 263735	"Cocconeis pediculus var. placentula (Ehrenb.) Grunow;Cocconeis communis f. placentula (Ehrenb.) Chmielevski"	Chromista	Gyrista	Bacillariophyceae	Achnanthales	Cocconeidaceae	Cocconeis	
Cymatopleura solea	Manuellt val	262482	Accepterat	Cymatopleura solea	(Bréb.) W.Sm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262482		Chromista	Gyrista	Bacillariophyceae	Surirellales	Surirellaceae	Cymatopleura	
Epithemia turgida	Manuellt val	262583	Accepterat	Epithemia turgida	(Ehrenb.) Kütz.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262583	"Navicula turgida Ehrenb.;Eunotia turgida (Ehrenb.) Ehrenb."	Chromista	Gyrista	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Epithemia	
Nitzschia	Manuellt val	1010462	Accepterat	Nitzschia	Hassall		Släkte	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 1010462		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae		
Hyalodiscus	Manuellt val	6009271	Accepterat	Hyalodiscus	Ehrenb.		Släkte		urn:lsid: dyntaxa.se:Taxon: 6009271		Chromista	Gyrista	Coscinodiscophyceae	Melosirales	Hyalodiscaceae		
Odontella sinensis	Manuellt val	237380	Accepterat	Odontella sinensis	(Greville) Grunow		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237380		Chromista	Gyrista	Coscinodiscophyceae	Triceratiales	Triceratiaceae	Odontella	
Chaetoceros socialis	Manuellt val	6018294	Accepterat	Chaetoceros socialis	Lauder		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6018294		Chromista	Gyrista	Mediophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
Diploneis coffeiformis	Ingen träff																
Navicula rostellata	Manuellt val	262879	Accepterat	Navicula rostellata	Kütz.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262879		Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	
Gomphonema acuminatum	Manuellt val	6319546	Accepterat	Gomphonema acuminatum	Ehrenb.		Art		urn:lsid: dyntaxa.se:Taxon: 6319546		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema	
Gomphonema augur	Manuellt val	262737	Accepterat	Gomphonema augur	Ehrenb.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262737		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema	
Gomphonema olivaceum	Ingen träff																
Nitzschia fonticola	Manuellt val	262985	Accepterat	Nitzschia fonticola	Grunow in Van Heurck		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262985		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia palea	Manuellt val	263022	Accepterat	Nitzschia palea	(Kütz.) W.Sm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 263022		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia filiformis	Manuellt val	262982	Accepterat	Nitzschia filiformis	(W.Sm.) Van Heurck		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262982		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Droopiella spaerckii	Ingen träff																
Neobodo saliens	Ingen träff																
Lepidochromonas stelligera	Ingen träff																
Lepidochromonas subrotacea	Ingen träff																
Lepidochromonas takahashii	Ingen träff																
Fragilaria striatula	Manuellt val	238019	Accepterat	Fragilaria striatula	Lyngbye		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238019		Chromista	Gyrista	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria	
Chaetoceros externus	Ingen träff																
Pediastrum	Manuellt val	6034742	Accepterat	Pediastrum	Meyen		Släkte		urn:lsid: dyntaxa.se:Taxon: 6034742		Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Hydrodictyaceae		
Scenedesmus	Manuellt val	6034741	Accepterat	Scenedesmus	Meyen		Släkte		urn:lsid: dyntaxa.se:Taxon: 6034741		Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae		
Aphanocapsa incerta	Manuellt val	6009059	Accepterat	Aphanocapsa incerta	(Lemmermann) G.Cronberg & Komárek		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6009059	Polycystis incerta Lemmermann	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Merismopediaceae	Aphanocapsa	
Chaetoceros anastomosans var. externus	Ingen träff																
Chaetoceros socialis f. socialis	Manuellt val	6018294	Accepterat	Chaetoceros socialis	Lauder		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6018294		Chromista	Gyrista	Mediophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
Chaetoceros socialis f. radians	Manuellt val	6018294	Accepterat	Chaetoceros socialis	Lauder		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6018294		Chromista	Gyrista	Mediophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
Melosira undulata	Manuellt val	262847	Accepterat	Melosira undulata	(Ehrenb.) Kütz.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262847		Chromista	Gyrista	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira	
Pleurosira laevis f. polymorpha	Manuellt val	262087	Accepterat	Pleurosira laevis f. polymorpha	(Kützing) Compère		Form	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262087		Chromista	Gyrista	Coscinodiscophyceae	Triceratiales	Triceratiaceae	Pleurosira	Pleurosira laevis
Balechina gracilis	Ingen träff																
Parvodinium cunningtonii	Ingen träff																
Didiniidae	Manuellt val	6009240	Accepterat	Didiniidae	Poche, 1913		Familj		urn:lsid: dyntaxa.se:Taxon: 6009240	Didiniidae 	Chromista	Ciliophora	Litostomatea	Haptorida			
Amphora pediculus	Manuellt val	6008148	Accepterat	Amphora pediculus	(Kütz.) Grunow		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6008148	"Cymbella pediculus Kütz.;Amphora ovalis var. pediculus (Kütz.) Van Heurck;Clevamphora ovalis var. pediculus (Kütz.) Mereschk."	Chromista	Gyrista	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora	
Ardissonea	Manuellt val	1014021	Accepterat	Ardissonea	De Not.		Släkte		urn:lsid: dyntaxa.se:Taxon: 1014021		Chromista	Gyrista	Mediophyceae	Toxariales	Ardissoneaceae		
Synedra crystallina	Ingen träff																
Caloneis bacillum	Manuellt val måste göras	6006317	Accepterat	Caloneis lancettula	(Schulz-Danzig) Lange-Bert. & Witkowski		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6006317	Caloneis aemula var. lancettula Schulz-Danzig	Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Caloneis	
Caloneis bacillum	Manuellt val måste göras	6006318	Accepterat	Caloneis fontinalis	(Grunow) A.Cleve		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6006318	"Navicula fontinalis Grunow;Caloneis fasciata var. fontinalis (Grunow) Østrup"	Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Caloneis	
Cavinula cocconeiformis	Manuellt val	262445	Accepterat	Cavinula cocconeiformis	(W.Greg. ex Grev.) D.G.Mann & A.J.Stickle		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262445	Navicula cocconeiformis W.Greg. ex Grev.	Chromista	Gyrista	Bacillariophyceae	Naviculales	Cavinulaceae	Cavinula	
Cymatopleura elliptica	Manuellt val	262481	Accepterat	Cymatopleura elliptica	(Bréb. ex Kütz.) W.Sm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262481		Chromista	Gyrista	Bacillariophyceae	Surirellales	Surirellaceae	Cymatopleura	
Cercomonas ovata	Ingen träff																
Neobodo designis	Ingen träff																
Encyonema elginense	Manuellt val	262545	Accepterat	Encyonema elginense	(Krammer) D.G.Mann in Round & al.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262545		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae	Encyonema	
Monaster rete	Ingen träff																
Pseudowigwamma scenozoicum	Ingen träff																
Pontismataceae	Manuellt val	6322521	Accepterat	Pontismataceae	H.E.Petersen ex P.M.Kirk & al.		Familj		urn:lsid: dyntaxa.se:Taxon: 6322521	Pontismaceae H.E.Petersen	Chromista	Gyrista	Oomycetes	Pontismatales			
Encyonema silesiacum	Manuellt val	262564	Accepterat	Encyonema silesiacum	(Bleisch in Rabenh.) D.G.Mann in Round et al.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262564		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae	Encyonema	
Eunotia bilunaris	Manuellt val	6008141	Accepterat	Eunotia bilunaris	(Ehrenb.) Schaarschm.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6008141		Chromista	Gyrista	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia	
Uronema marinum	Manuellt val	238880	Accepterat	Uronema marinum	Dujard.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 238880	"Uronema marinus Dujardin, 1841;Uronema marinus Dujard.;Uronema marina Dujard."	Plantae	Chlorophyta	Chlorophyceae	Chaetophorales	Uronemataceae	Uronema	
Eunotia septentrionalis	Manuellt val	237949	Accepterat	Eunotia septentrionalis	Østrup		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237949		Chromista	Gyrista	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia	
Eunotia serra	Manuellt val	262647	Accepterat	Eunotia serra	Ehrenb.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262647		Chromista	Gyrista	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia	
Fragilaria mesolepta	Manuellt val	262684	Accepterat	Fragilaria mesolepta	Rabenh.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262684	"Fragilariforma mesolepta (Rabenh.) ?haritonov;Fragilaria capucina var. mesolepta (Rabenh.) Rabenh.;Staurosira mesolepta (Rabenh.) Cleve & J.D.Möller;Staurosira capucina var. mesolepta (Rabenh.) Comère;Fragilaria virescens var. mesolepta (Rabenh.) Schönf.;Fragilaria virescens f. mesolepta (Rabenh.) A.Cleve;Fragilaria capucina f. mesolepta (Rabenh.) Hust.;Fragilariforma virescens var. mesolepta (Rabenh.) N.A.Andresen, Stoermer & Kreis"	Chromista	Gyrista	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria	
Stauroneis crucicula	Ingen träff																
Navicula meniscus	Manuellt val	237575	Accepterat	Navicula meniscus	Schum.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237575		Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	
Navicula microcephala	Manuellt val	237576	Accepterat	Navicula microcephala	Grunow in Van Heurck		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237576		Chromista	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	
Nitzschia frustulum	Manuellt val	262987	Accepterat	Nitzschia frustulum	(Kütz.) Grunow in Cleve & Grunow		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262987		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Nitzschia inconspicua	Manuellt val	6021710	Accepterat	Nitzschia inconspicua	Grunow		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6021710		Chromista	Gyrista	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	
Opephora mutabilis	Manuellt val	6006591	Accepterat	Opephora mutabilis	(Grunow) Sabbe & Wyverman		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6006591		Chromista	Gyrista	Bacillariophyceae	Fragilariales	Staurosiraceae	Opephora	
Placoneis clementis	Manuellt val måste göras	6053322	Accepterat	Placoneis clementispronina	Lange-Bert. & Wojtal		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6053322		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae	Placoneis	
Placoneis clementis	Manuellt val måste göras	6053323	Accepterat	Placoneis nanoclementis	Lange-Bert. & Wojtal		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6053323		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae	Placoneis	
Reimeria sinuata	Manuellt val	6000424	Accepterat	Reimeria sinuata	(W.Greg.) Kociolek & Stoermer		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6000424	Cymbella sinuata W.Greg.	Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae	Reimeria	
Stauroneis legumen	Manuellt val	6006628	Accepterat	Stauroneis legumen	(Ehrenb.) Kütz.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6006628		Chromista	Gyrista	Bacillariophyceae	Naviculales	Stauroneidaceae	Stauroneis	
Staurophora	Manuellt val	1010472	Accepterat	Staurophora	Mereschkowsky		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010472		Chromista	Gyrista	Bacillariophyceae	Cymbellales	Anomoeoneidaceae		
Gomphonema clavatum	Manuellt val	237864	Accepterat	Gomphonema clavatum	Ehrenb.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237864	Gomphonema clavatum s.lat. Ehrenb.	Chromista	Gyrista	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema	
Cyanobacteria incertae sedis	Ingen träff																
Planktolyngbya contorta	Manuellt val	257545	Accepterat	Planktolyngbya contorta	(Lemmerm.) Anagn. & Komárek		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 257545	"Gloeotila spiralis Chodat;Gloeotila contorta Chodat;Stichococcus contortus (Lemmerm.) Hindák;Gloeotila contorta (Lemmerm.) Chodat;Lyngbya contorta Lemmerm."	Plantae	Chlorophyta	Trebouxiophyceae	Prasiolales	Prasiolaceae	Stichococcus	
Stenokalyx spiralis	Ingen träff																
Dictyosphaerium	Manuellt val	6034740	Accepterat	Dictyosphaerium	Nägeli		Släkte		urn:lsid: dyntaxa.se:Taxon: 6034740	Lobocystis R.H.Thomps.	Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae		
Lacrymaria	Manuellt val	1010659	Accepterat	Lacrymaria	Ehrenberg, 1830		Släkte		urn:lsid: dyntaxa.se:Taxon: 1010659	"Lacrymaria Bory de St. Vincent;Pelagolacrymaria "	Chromista	Ciliophora	Litostomatea	Haptorida	Lacrymariidae		
Brachysira brebissonii f. brebissonii	Ingen träff																
Eunotia denticulata	Manuellt val	6020470	Accepterat	Eunotia denticulata	(Bréb.) Rabenh.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6020470	Himantidium denticulatum Bréb.	Chromista	Gyrista	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia	
Eunotia meisteri	Manuellt val	6008131	Accepterat	Eunotia meisteri	Hust.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6008131		Chromista	Gyrista	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia	
Eunotia formica	Manuellt val	6008142	Accepterat	Eunotia formicina	Lange-Bert.		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 6008142		Chromista	Gyrista	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia	
Eunotia nymanniana	Manuellt val	262652	Accepterat	Eunotia nymanniana	Grunow		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 262652	"Eunotia steineckei Petersen;Eunotia steineckei J.B.Petersen"	Chromista	Gyrista	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia	
Navicula contenta f. contenta	Ingen träff																
Triadinium polyedricum	Ingen träff																
Phaeophyceae incertae sedis	Ingen träff																
Chlorocystidales	Ingen träff																
Chilomonas	Manuellt val måste göras	1010525	Accepterat	Cryptomonas	Ehrenb.	rekylalger	Släkte		urn:lsid: dyntaxa.se:Taxon: 1010525	Campylomonas Hill	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae		
Chilomonas	Manuellt val måste göras	6329124	Accepterat	Chilomonas	Ehrenberg		Släkte		urn:lsid: dyntaxa.se:Taxon: 6329124		Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae		
Cryptophyceae incertae sedis	Ingen träff																
Phalacroma ovatum	Ingen träff																
Gyrodinium formosum	Ingen träff																
Takayama pulchella	Ingen träff																
Protoperidinium grenlandicum	Ingen träff																
Pfiesteria shumwayae	Ingen träff																
Carteria marina	Ingen träff																
Pseudostaurastrum limneticum	Manuellt val	237145	Accepterat	Pseudostaurastrum limneticum	(Borge) Chodat		Art	Bofast och reproducerande	urn:lsid: dyntaxa.se:Taxon: 237145	Tetraedron limneticum Borge	Chromista	Gyrista	Eustigmatophyceae	Eustigmatales	Eustigmataceae	Pseudostaurastrum	
Uroglena	Manuellt val	6034802	Accepterat	Uroglena	Ehrenb.		Släkte		urn:lsid: dyntaxa.se:Taxon: 6034802	Uroglena s.str. 	Chromista	Gyrista	Chrysophyceae	Ochromonadales	Ochromonadaceae		
Aphanothece parallelliformis	Ingen träff																
Xanthophyceae incertae sedis	Ingen träff																
Pleurastraceae	Ingen träff																
Florenciellales incertae sedis	Ingen träff																
Chlorophyta incertae sedis	Ingen träff																
Haptophyta incertae sedis	Ingen träff																
Ochrophyta incertae sedis	Ingen träff																
Pseudo-nitzschia cuspidata	Ingen träff																
Scourfieldia complanata	Manuellt val	6018077	Accepterat	Scourfieldia complanata	G.S.West		Art	Osäkert om påträffad	urn:lsid: dyntaxa.se:Taxon: 6018077		Plantae	Chlorophyta	Pedinophyceae	Scourfieldiales	Scourfieldiaceae	Scourfieldia	
Pterosperma rotundum	Ingen träff																
Achnanthidium biasolettianum	Ingen träff																
