AphiaID	ScientificName	Authority	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	taxonRank	Genus	Subgenus	Species	Subspecies	taxonomicStatus	Unacceptreason	LSID
109712	Alexandrium ostenfeldii	(Paulsen) Balech & Tangen, 1985	109712	Alexandrium ostenfeldii	(Paulsen) Balech & Tangen, 1985	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		ostenfeldii		accepted		urn:lsid:marinespecies.org:taxname:109712
833012	Alexandrium pacificum	R.W.Litaker, 2014	833012	Alexandrium pacificum	R.W.Litaker, 2014	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		pacificum		accepted		urn:lsid:marinespecies.org:taxname:833012
233465	Alexandrium peruvianum	(Balech & Mendiola) Balech & Tangen, 1985	109712	Alexandrium ostenfeldii	(Paulsen) Balech & Tangen, 1985	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		peruvianum		unaccepted	heterotypic synonym	urn:lsid:marinespecies.org:taxname:233465
109713	Alexandrium pseudogonyaulax	(Biecheler) Horiguchi ex K.Yuki & Y.Fukuyo, 1992	109713	Alexandrium pseudogonyaulax	(Biecheler) Horiguchi ex K.Yuki & Y.Fukuyo, 1992	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		pseudogonyaulax		accepted		urn:lsid:marinespecies.org:taxname:109713
109714	Alexandrium tamarense	(Lebour) Balech, 1995	109714	Alexandrium tamarense	(Lebour) Balech, 1995	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		tamarense		accepted		urn:lsid:marinespecies.org:taxname:109714
233473	Alexandrium tamiyavanichii	Balech, 1994	233473	Alexandrium tamiyavanichii	Balech, 1994	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		tamiyavanichii		accepted		urn:lsid:marinespecies.org:taxname:233473
109715	Alexandrium taylori	Balech, 1994	614599	Alexandrium taylorii	Balech, 1994	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		taylori		unaccepted		urn:lsid:marinespecies.org:taxname:109715
614599	Alexandrium taylorii	Balech, 1994	614599	Alexandrium taylorii	Balech, 1994	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Species	Alexandrium		taylorii		accepted		urn:lsid:marinespecies.org:taxname:614599
591210	Alophycidae		591210	Alophycidae		Chromista	Ochrophyta	Dictyochophyceae			Subclass					unaccepted	disused	urn:lsid:marinespecies.org:taxname:591210
536209	Alveolata	Cavalier-Smith	536209	Alveolata	Cavalier-Smith	Chromista					Infrakingdom					accepted		urn:lsid:marinespecies.org:taxname:536209
