species	hab_effect	taxon_id	scientific_name	authority	link
Pseudochattonella verruculosa	Fish killer	531446	Pseudochattonella verruculosa	(Y.Hara & M.Chihara) S.Tanabe-Hosoi, D.Honda, S.Fukaya, Y.Inagaki & Y.Sako, 2007	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=531446
Anagnostidinema amphibium	Cyano toxins	1313613	Anagnostidinema amphibium	(C.Agardh ex Gomont) Strunecký, Bohunická, J.R.Johansen & J.Komárek, 2017	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=1313613
Aphanizomenon flosaquae	Cyano toxins	609460	Aphanizomenon flosaquae	Ralfs ex Bornet & Flahault, 1886	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=609460
Coelosphaerium kuetzingianum	Cyano toxins	177100	Coelosphaerium kuetzingianum	Nägeli, 1849	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=177100
Dolichospermum flosaquae	Cyano toxins	623803	Dolichospermum flosaquae	(Brébisson ex Bornet & Flahault) P.Wacklin, L.Hoffmann & J.Komárek, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=623803
Dolichospermum lemmermannii	Cyano toxins	625374	Dolichospermum lemmermannii	(Richter) P.Wacklin, L.Hoffmann & J.Komárek, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625374
Dolichospermum macrosporum	Cyano toxins	625403	Dolichospermum macrosporum	(Klebhan) Wacklin, L.Hoffmann & Komárek, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625403
Dolichospermum planctonicum	Cyano toxins	625407	Dolichospermum planctonicum	(Brunnthaler) Wacklin, L.Hoffmann & Komárek, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625407
Dolichospermum sigmoideum	Cyano toxins	625408	Dolichospermum sigmoideum	(Nygaard) Wacklin, L.Hoffmann & Komárek, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625408
Dolichospermum spiroides	Cyano toxins	625411	Dolichospermum spiroides	(Klebhan) Wacklin, L.Hoffmann & Komárek, 2009	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=625411
Gloeotrichia echinulata	Cyano toxins	409630	Gloeotrichia echinulata	P.G.Richter, 1894	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=409630
Limnothrix redekei	Cyano toxins	177508	Limnothrix redekei	(Goor) Meffert, 1988	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=177508
Microcystis aeruginosa	Cyano toxins	146558	Microcystis aeruginosa	(Kützing) Kützing, 1846	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146558
Microcystis flosaquae	Cyano toxins	699375	Microcystis flosaquae	(Wittrock) Kirchner, 1898	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=699375
Microcystis ichthyoblabe	Cyano toxins	177245	Microcystis ichthyoblabe	(G.Kunze) Kützing, 1843	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=177245
Microcystis wesenbergii	Cyano toxins	146561	Microcystis wesenbergii	(Komárek) Komárek ex Komárek, 2006	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146561
Microcystis viridis	Cyano toxins	177400	Microcystis viridis	(A.Braun) Lemmermann, 1903	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=177400
Nodularia spumigena	Cyano toxins	160566	Nodularia spumigena	Mertens ex Bornet & Flahault, 1888	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=160566
Planktothrix agardhii	Cyano toxins	146552	Planktothrix agardhii	(Gomont) Anagnostidis & Komárek, 1988	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146552
Snowella lacustris	Cyano toxins	146645	Snowella lacustris	(Chodat) Komárek & Hindák, 1988	https://www.marinespecies.org/hab/aphia.php?p=taxdetails&id=146645
