Species in NORCCA	scientific_name	Link to NORCCA website	AphiaID	Match type
Bathycoccus prasinos	Bathycoccus prasinos	https://norcca.scrol.net/species/Bathycoccus-prasinos	345459	exact
Biecheleria cincta	Biecheleria cincta	https://norcca.scrol.net/species/Biecheleria-cincta	840029	exact
Biecheleria sp.				
Biecheleriopsis adriatica	Biecheleriopsis adriatica	https://norcca.scrol.net/species/Biecheleriopsis-adriatica	837989	exact
Bigelowiella natans	Bigelowiella natans	https://norcca.scrol.net/species/Bigelowiella-natans	376277	exact
Blastophysa rhizopus	Blastophysa rhizopus	https://norcca.scrol.net/species/Blastophysa-rhizopus	144478	exact
Blidingia minima	Blidingia minima	https://norcca.scrol.net/species/Blidingia-minima	145950	exact
Bolbocoleon piliferum	Bolbocoleon piliferum	https://norcca.scrol.net/species/Bolbocoleon-piliferum	144865	exact
Borghiella andersenii	Borghiella andersenii	https://norcca.scrol.net/species/Borghiella-andersenii	841726	exact
Borghiella dodgei	Borghiella dodgei	https://norcca.scrol.net/species/Borghiella-dodgei	623370	exact
Borghiella tenuissima	Borghiella tenuissima	https://norcca.scrol.net/species/Borghiella-tenuissima	503084	exact
Botryococcus braunii	Botryococcus braunii	https://norcca.scrol.net/species/Botryococcus-braunii	248104	exact
Botryococcus cf. braunii				
Botryococcus sp.				
Botrytella micromora	Botrytella micromora	https://norcca.scrol.net/species/Botrytella-micromora	145484	exact
Brachiomonas submarina	Brachiomonas submarina	https://norcca.scrol.net/species/Brachiomonas-submarina	345437	exact
Callithamnion corymbosum	Callithamnion corymbosum	https://norcca.scrol.net/species/Callithamnion-corymbosum	144526	exact
Calothrix parietina	Calothrix parietina	https://norcca.scrol.net/species/Calothrix-parietina	239094	exact
Calothrix sp. ?				
Calyptrosphaera sp.				
Carteria sp.				
Ceramium tenuicorne	Ceramium tenuicorne	https://norcca.scrol.net/species/Ceramium-tenuicorne	144569	exact
Ceratium cornutum	Ceratium cornutum	https://norcca.scrol.net/species/Ceratium-cornutum	592868	exact
cf. Chrysolepidomonas sp.				
cf. Fragilariopsis pseudonana	Fragilariopsis pseudonana	https://norcca.scrol.net/species/cf-Fragilariopsis-pseudonana	341558	exact
cf. Messastrum gracile	Messastrum gracile	https://norcca.scrol.net/species/cf-Messastrum-gracile	1372754	exact
cf. Stephanopyxis sp.				
Chaetoceros affinis	Chaetoceros affinis	https://norcca.scrol.net/species/Chaetoceros-affinis	149241	exact
Chaetoceros cf. brevis	Chaetoceros brevis	https://norcca.scrol.net/species/Chaetoceros-cf-brevis	149291	exact
