scientific_name	authority	rank	aphia_id	url	parent_name	parent_id	status	valid_aphia_id	valid_name	valid_authority	kingdom	phylum	class	order	family	genus	classification
Laboea strobila	Lohmann, 1908	Species	101264	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101264	Laboea	101190	accepted	101264	Laboea strobila	Lohmann, 1908	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Laboea	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Tontoniidae - [Genus] Laboea - [Species] Laboea strobila
Paratontonia gracillima	(Fauré-Fremiet, 1924) Jankowski, 1978	Species	101268	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101268	Paratontonia	101193	accepted	101268	Paratontonia gracillima	(Fauré-Fremiet, 1924) Jankowski, 1978	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Paratontonia	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Tontoniidae - [Genus] Paratontonia - [Species] Paratontonia gracillima
Strombidium capitatum	(Leegaard, 1915) Kahl, 1932	Species	101282	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101282	Strombidium	101195	accepted	101282	Strombidium capitatum	(Leegaard, 1915) Kahl, 1932	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium capitatum
Strombidium compressum	(Leegaard, 1915) Kahl, 1932	Species	101287	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101287	Strombidium	101195	accepted	101287	Strombidium compressum	(Leegaard, 1915) Kahl, 1932	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium compressum
Strombidium conicoides	(Leegaard, 1915) Kahl, 1932	Species	101288	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101288	Strombidium	101195	nomen dubium	101288	Strombidium conicoides	(Leegaard, 1915) Kahl, 1932	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium conicoides
Strombidium conicum	(Lohmann, 1908) Wulff, 1919	Species	101289	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101289	Strombidium	101195	accepted	101289	Strombidium conicum	(Lohmann, 1908) Wulff, 1919	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium conicum
Strombidium lagenula	Fauré-Fremiet, 1924	Species	101310	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101310	Strombidium	101195	accepted	101310	Strombidium lagenula	Fauré-Fremiet, 1924	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium lagenula
Strombidium reticulatum	(Leegaard, 1915) Busch, 1921	Species	101325	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101325	Strombidium	101195	nomen dubium	101325	Strombidium reticulatum	(Leegaard, 1915) Busch, 1921	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium reticulatum
Strombidium sulcatum	Claparède & Lachmann, 1859	Species	101335	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101335	Strombidium	101195	accepted	101335	Strombidium sulcatum	Claparède & Lachmann, 1859	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium sulcatum
Strombidium vestitum	(Leegaard, 1915) Kahl, 1932	Species	101342	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101342	Strombidium	101195	accepted	101342	Strombidium vestitum	(Leegaard, 1915) Kahl, 1932	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[Superdomain] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium vestitum
